Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_00180,orf19.6086	NG	0.0135047	0.540365	0.0249918	2.27445e-87	1737	392.092	1344.91	NA	169	151	18	NA	NA	0.132433	1:1:1:1:1:1	0.41422(0.481865:0.386874:0.373921)	NA	NA	NA	NA
Cd36_00190,orf19.6085	NG	NA	0.15188	-0	NA	600	138.192	461.808	NA	19	19	NA	NA	NA	0.0349812	1:1:1:1:1:1	0.385833(0.435:0.38:0.3425)	NA	NA	NA	NA
Cd36_00200,orf19.6084	NG	0.0605421	0.63741	0.0949815	7.45262e-24	636	137.401	498.599	NA	88	59	29	NA	NA	0.185168	1:1:1:1:1:1	0.348062(0.35814:0.288372:0.397674)	NA	NA	NA	NA
Cd36_00210,orf19.6082	NG	0.0269568	0.535524	0.0503373	7.45748e-48	1152	245.591	906.409	NA	118	94	24	NA	NA	0.135376	1:1:1:1:1:1	0.379677(0.44898:0.327806:0.362245)	NA	NA	NA	NA
Cd36_00240,orf19.6080	NG	0.0272834	0.564592	0.0483241	3.40626e-55	1284	263.836	1020.16	NA	132	104.667	27.3333	NA	NA	0.137689	1:1:1:1:1:1	0.390576(0.455607:0.300234:0.415888)	NA	NA	NA	NA
Cd36_00250,orf19.6077	NG	0.00833902	0.461566	0.0180668	4.11215e-73	1554	348.139	1205.86	NA	130	120	10	NA	NA	0.109874	1:1:1:1:1:1	0.396396(0.400579:0.377413:0.411197)	NA	NA	NA	NA
Cd36_00260,orf19.6076	NG	0.0710849	0.562295	0.126419	1.66143e-23	780	168.087	611.913	NA	108	66.5	41.5	NA	NA	0.176939	1:1:1:1:1:1	0.377098(0.453237:0.327338:0.350719)	NA	NA	NA	NA
Cd36_00270,orf19.6075	NG	0.00233247	0.341679	0.0068265	2.22621e-22	546	116.603	429.397	NA	33	32	1	NA	NA	0.0748027	1:1:1:1:1:1	0.400183(0.436813:0.362637:0.401099)	NA	NA	NA	NA
Cd36_00280,orf19.6074	NG	0.0263476	0.455058	0.0578994	3.28539e-25	723	143.629	579.371	NA	64	49	15	NA	NA	0.111514	1:1:1:1:1:1	0.372984(0.497984:0.284274:0.336694)	NA	NA	NA	NA
Cd36_00290,orf19.6073	NG	0.0124465	0.244701	0.0508642	1.01227e-20	873	184.395	688.605	NA	47	38.5	8.5	NA	NA	0.0615032	1:1:1:1:1:1	0.369416(0.431271:0.312715:0.364261)	NA	NA	NA	NA
Cd36_00300,orf19.6072	NG	0.20656	0.613198	0.336857	5.41684e-15	1206	265.389	940.611	NA	281	111.167	169.833	NA	NA	0.296044	1:1:1:1:1:1	0.365399(0.441834:0.315436:0.338926)	NA	NA	NA	NA
Cd36_00310,orf19.6071	NG	0.0606131	0.55296	0.109616	2.74532e-66	2235	456.087	1778.91	NA	282	178.417	103.583	NA	NA	0.161084	1:1:1:1:1:1	0.32529(0.364611:0.254021:0.357239)	NA	NA	NA	NA
Cd36_00320,orf19.6070	NG	0.0155447	0.407906	0.0381086	7.05361e-119	3201	731.019	2469.98	NA	268	230	38	NA	NA	0.105149	1:1:1:1:1:1	0.395345(0.480787:0.386129:0.319119)	NA	NA	NA	NA
Cd36_00330,orf19.6068	NG	0.0206681	0.425865	0.0485322	4.82481e-41	1146	238.513	907.487	NA	96	77.5	18.5	NA	NA	0.105	1:1:1:1:1:1	0.363438(0.435864:0.336387:0.318063)	NA	NA	NA	NA
Cd36_00340,orf19.6066	NG	0.0095716	0.405022	0.0236323	2.61929e-66	1626	364.273	1261.73	NA	126	114	12	NA	NA	0.0981645	1:1:1:1:1:1	0.361931(0.415129:0.375461:0.295203)	NA	NA	NA	NA
Cd36_00350,orf19.6065	NG	0.0431162	0.595938	0.0723501	1.71533e-37	969	193.349	775.651	NA	112	79.5	32.5	NA	NA	0.153423	1:1:1:1:1:1	0.349845(0.383901:0.301858:0.363777)	NA	NA	NA	NA
Cd36_00360,orf19.6064	NG	0.0159802	0.406735	0.0392891	1.18374e-62	1674	377.45	1296.55	NA	139	118.5	20.5	NA	NA	0.104087	1:1:1:1:1:1	0.371864(0.416667:0.387097:0.311828)	NA	NA	NA	NA
Cd36_00370,orf19.6063	NG	0.0204894	0.467525	0.0438252	4.69872e-55	1434	296.064	1137.94	NA	126	103	23	NA	NA	0.112785	1:1:1:1:1:1	0.350418(0.395397:0.316946:0.338912)	NA	NA	NA	NA
Cd36_00390,orf19.6062	NG	0.0122944	0.263635	0.0466341	6.26122e-09	318	71.9803	246.02	NA	19	16	3	NA	NA	0.0691861	1:1:1:1:1:1	0.391509(0.466981:0.419811:0.287736)	NA	NA	NA	NA
Cd36_00400,orf19.6061	NG	0.0136092	0.422283	0.0322276	7.11397e-52	1323	284.922	1038.08	NA	106	92	14	NA	NA	0.101621	1:1:1:1:1:1	0.364701(0.427438:0.3322:0.334467)	NA	NA	NA	NA
Cd36_00410,orf19.6060	NG	0.00510376	0.379418	0.0134516	6.08125e-92	2253	483.588	1769.41	NA	153	144	9	NA	NA	0.0854474	1:1:1:1:1:1	0.38482(0.467377:0.334887:0.352197)	NA	NA	NA	NA
Cd36_00420,orf19.6059	NG	0.021923	0.288676	0.0759433	3.45717e-09	357	79.295	277.705	NA	25	19	6	NA	NA	0.0811727	1:1:1:1:1:1	0.364146(0.428571:0.344538:0.319328)	NA	NA	NA	NA
Cd36_00430,orf19.6058	NG	0.0322826	0.479771	0.0672875	1.35975e-34	1026	203.155	822.845	NA	98	72	26	NA	NA	0.120888	1:1:1:1:1:1	0.37232(0.419591:0.320175:0.377193)	NA	NA	NA	NA
Cd36_00440,orf19.6057	NG	0.0262518	0.420033	0.0624993	4.85953e-32	927	209.88	717.12	NA	86	67.5	18.5	NA	NA	0.115407	1:1:1:1:1:1	0.37972(0.459547:0.341424:0.338188)	NA	NA	NA	NA
Cd36_00450,orf19.6056	NG	0.0391092	0.440151	0.088854	4.25764e-20	666	141.162	524.838	NA	67	47	20	NA	NA	0.124112	1:1:1:1:1:1	0.362613(0.45045:0.292793:0.344595)	NA	NA	NA	NA
Cd36_00460,orf19.6055	NG	0.0236619	0.449634	0.0526248	3.87359e-89	2439	549.986	1889.01	NA	230	186	44	NA	NA	0.119717	1:1:1:1:1:1	0.373924(0.432349:0.343788:0.345633)	NA	NA	NA	NA
Cd36_00470,orf19.6054	NG	0.0214599	0.563636	0.0380741	1.24571e-99	2166	464.34	1701.66	NA	220	184	36	NA	NA	0.13769	1:1:1:1:1:1	0.362379(0.404564:0.345781:0.336791)	NA	NA	NA	NA
Cd36_00480,orf19.6053	NG	0.0437196	0.57243	0.0763754	4.99644e-72	1908	424.591	1483.41	NA	233	170	63	NA	NA	0.161375	1:1:1:1:1:1	0.388889(0.415881:0.386006:0.36478)	NA	NA	NA	NA
Cd36_00490,orf19.6052	NG	0.0251816	0.507886	0.0495812	3.09906e-46	1170	241.216	928.784	NA	112	89	23	NA	NA	0.124699	1:1:1:1:1:1	0.359829(0.455128:0.294872:0.329487)	NA	NA	NA	NA
Cd36_00500,orf19.6049	NG	0.0973268	0.549782	0.177028	8.15096e-55	2376	550.043	1825.96	NA	381	214.333	166.667	NA	NA	0.20207	1:1:1:1:1:1	0.397275(0.438365:0.430189:0.32327)	NA	NA	NA	NA
Cd36_00510,orf19.6048	NG	0.0300482	0.50817	0.0591302	5.33135e-37	927	214.029	712.971	NA	100	79	21	NA	NA	0.140439	1:1:1:1:1:1	0.37972(0.409385:0.367314:0.36246)	NA	NA	NA	NA
Cd36_00520,orf19.6047	NG	0.0061285	0.27058	0.0226495	1.84018e-38	1278	294.963	983.037	NA	73	67	6	NA	NA	0.067164	1:1:1:1:1:1	0.410016(0.495305:0.399061:0.335681)	NA	NA	NA	NA
Cd36_00530,orf19.6046	NG	0.0411959	0.522111	0.0789026	2.30175e-159	4599	1031.58	3567.42	NA	531	388	143	NA	NA	0.149067	1:1:1:1:1:1	0.381759(0.42899:0.357003:0.359283)	NA	NA	NA	NA
Cd36_00540,orf19.6045	NG	0.0146289	0.57832	0.0252954	4.28898e-92	1770	389.462	1380.54	NA	177	157	20	NA	NA	0.138661	1:1:1:1:1:1	0.377966(0.420339:0.374576:0.338983)	NA	NA	NA	NA
Cd36_00550,orf19.6044	NG	0.0215811	0.386143	0.055889	1.86138e-31	939	210.397	728.603	NA	79	63.5	15.5	NA	NA	0.103267	1:1:1:1:1:1	0.382322(0.412141:0.376997:0.357827)	NA	NA	NA	NA
Cd36_00560,orf19.6043	NG	0.0438932	0.662688	0.0662351	7.32594e-78	1743	394.295	1348.71	NA	231	173.5	57.5	NA	NA	0.183875	1:1:1:1:1:1	0.393574(0.450947:0.395869:0.333907)	NA	NA	NA	NA
Cd36_00570,orf19.6041	NG	0.0581715	0.423852	0.137245	1.57626e-84	3900	824.1	3075.9	NA	439	266.833	172.167	NA	NA	0.135443	1:1:1:1:1:1	0.369615(0.465385:0.314615:0.328846)	NA	NA	NA	NA
Cd36_00580,orf19.6040	NG	0.00183736	0.301075	0.00610268	3.83663e-24	678	133.075	544.925	NA	34	33	1	NA	NA	0.0605706	1:1:1:1:1:1	0.369152(0.546053:0.263158:0.298246)	NA	NA	NA	NA
Cd36_00590,orf19.6039	NG	0.00627981	0.445222	0.0141049	9.48187e-47	1011	211.46	799.54	NA	76	71	5	NA	NA	0.0980887	1:1:1:1:1:1	0.345697(0.396142:0.317507:0.323442)	NA	NA	NA	NA
Cd36_00600,orf19.6038	NG	0.0715672	0.558861	0.128059	1.79819e-48	1734	364.211	1369.79	NA	237	143.5	93.5	NA	NA	0.173919	1:1:1:1:1:1	0.349858(0.403419:0.317949:0.328205)	NA	NA	NA	NA
Cd36_00610,orf19.6037	NG	0.0306026	0.457818	0.0668445	8.53522e-68	2121	420.242	1700.76	NA	195	144	51	NA	NA	0.115248	1:1:1:1:1:1	0.351249(0.387553:0.32744:0.338755)	NA	NA	NA	NA
Cd36_00620,orf19.6036	NG	0.0426535	0.402988	0.105843	1.52081e-71	3018	606.227	2411.77	NA	289	189	100	NA	NA	0.115034	1:1:1:1:1:1	0.26409(0.357488:0.252657:0.182126)	NA	NA	NA	NA
Cd36_00630,orf19.6035	NG	0.0172986	0.139695	0.123831	0.000220986	363	70.6124	292.388	NA	14	9	5	NA	NA	0.0411076	1:1:1:1:1:1	0.258953(0.384298:0.260331:0.132231)	NA	NA	NA	NA
Cd36_00650,orf19.6033	NG	0.0318897	0.28053	0.113677	1.64818e-33	1812	386.689	1425.31	NA	135	90.5	44.5	NA	NA	0.0849507	1:1:1:1:1:1	0.303105(0.438725:0.355392:0.115196)	NA	NA	NA	NA
Cd36_00660,orf19.6032	NG	0.0929203	0.317148	0.292987	1.55299e-13	1419	291.929	1127.07	NA	174	75.5	98.5	NA	NA	0.13905	1:1:1:1:1:1	0.268219(0.365385:0.311741:0.12753)	NA	NA	NA	NA
Cd36_00670,orf19.6031	NG	0.102176	0.38452	0.265723	6.22015e-28	2415	498.328	1916.67	NA	333	149.917	183.083	NA	NA	0.160437	1:1:1:1:1:1	0.293563(0.439512:0.320755:0.120422)	NA	NA	NA	NA
Cd36_00680,orf19.6029	NG	0.064585	0.254062	0.25421	1.18519e-08	780	174.011	605.989	NA	75	37.5	37.5	NA	NA	0.106855	1:1:1:1:1:1	0.288462(0.375:0.4:0.0903846)	NA	NA	NA	NA
Cd36_00690,orf19.6028	NG	0.122318	0.469212	0.260688	2.01949e-30	2226	469.465	1756.54	NA	362	163.75	198.25	NA	NA	0.195478	1:1:1:1:1:1	0.266667(0.302959:0.360947:0.136095)	NA	NA	NA	NA
Cd36_00740,orf19.6027	NG	0.200729	0.553278	0.3628	1.12149e-10	1077	210.6	866.4	NA	235	82.4167	152.583	NA	NA	0.269668	1:1:1:1:1:1	0.227981(0.344512:0.211382:0.128049)	NA	NA	NA	NA
Cd36_00760,orf19.6025	NG	0.0830702	0.455826	0.182241	9.80426e-13	660	125.887	534.113	NA	85	43	42	NA	NA	0.154169	1:1:1:1:1:1	0.195312(0.265625:0.173437:0.146875)	NA	NA	NA	NA
Cd36_00770,orf19.6024	NG	0.129595	0.335526	0.386246	3.84742e-07	1026	190.683	835.317	NA	151	51.5833	99.4167	NA	NA	0.167868	1:1:1:1:1:1	0.179929(0.265252:0.160477:0.114058)	NA	NA	NA	NA
Cd36_00780,orf19.6023	NG	0.0395678	0.39276	0.100743	7.02467e-47	1791	411.56	1379.44	NA	179	125.833	53.1667	NA	NA	0.120729	1:1:1:1:1:1	0.305648(0.388704:0.394518:0.133721)	NA	NA	NA	NA
Cd36_00790,orf19.6022	NG	0.0829084	0.45519	0.18214	9.23011e-34	1707	369.253	1337.75	NA	231	126	105	NA	NA	0.163439	1:1:1:1:1:1	0.298747(0.295752:0.385621:0.214869)	NA	NA	NA	NA
Cd36_00800,orf19.6021	NG	0.225155	0.494388	0.455422	3.3876e-05	705	154.447	550.553	NA	163	55.9167	107.083	NA	NA	0.284137	1:1:1:1:1:1	0.312831(0.400794:0.321429:0.21627)	NA	NA	NA	NA
Cd36_00810,orf19.6020	NG	0.058593	0.35887	0.163271	5.22147e-18	990	197.514	792.486	NA	101	56.3333	44.6667	NA	NA	0.118501	1:1:1:1:1:1	0.291667(0.452381:0.275298:0.147321)	NA	NA	NA	NA
Cd36_00820,orf19.6018	NG	0.0499654	0.428013	0.116738	9.72673e-52	2088	450.207	1637.79	NA	226	146.833	79.1667	NA	NA	0.131479	1:1:1:1:1:1	0.345288(0.442335:0.353024:0.240506)	NA	NA	NA	NA
Cd36_00830,orf19.6017	NG	0.101402	0.46025	0.220319	1.42072e-25	1563	324.148	1238.85	NA	229	111.5	117.5	NA	NA	0.175823	1:1:1:1:1:1	0.34296(0.472924:0.314079:0.241877)	NA	NA	NA	NA
Cd36_00840,orf19.6016	NG	0.0337194	0.361954	0.0931593	7.20262e-54	2136	470.477	1665.52	NA	190	135.083	54.9167	NA	NA	0.106017	1:1:1:1:1:1	0.316667(0.4375:0.355556:0.156944)	NA	NA	NA	NA
Cd36_00850,orf19.6014	NG	0.00833727	0.291322	0.0286188	5.11495e-19	615	132.555	482.445	NA	36	32	4	NA	NA	0.0693308	1:1:1:1:1:1	0.31626(0.443902:0.336585:0.168293)	NA	NA	NA	NA
Cd36_00860,orf19.6013	NG	0.037645	0.410974	0.0915994	8.03355e-15	516	107.457	408.543	NA	49	34	15	NA	NA	0.115391	1:1:1:1:1:1	0.286089(0.387795:0.291339:0.179134)	NA	NA	NA	NA
Cd36_00870,orf19.6012	NG	0.0207993	0.457577	0.0454554	1.07286e-142	3834	811.611	3022.39	NA	340	278	62	NA	NA	0.11326	1:1:1:1:1:1	0.334244(0.428571:0.331382:0.242779)	NA	NA	NA	NA
Cd36_00880,orf19.6011	NG	0.0349617	0.49549	0.07056	2.56086e-145	4233	905.461	3327.54	NA	442	328.333	113.667	NA	NA	0.133471	1:1:1:1:1:1	0.380683(0.477739:0.34841:0.315901)	NA	NA	NA	NA
Cd36_00900,orf19.6010	NG	0.00195438	0.342393	0.00570802	5.98167e-79	1959	421.989	1537.01	NA	119	116	3	NA	NA	0.0752884	1:1:1:1:1:1	0.365237(0.428025:0.349158:0.31853)	NA	NA	NA	NA
Cd36_00910,orf19.6009	NG	0.0414471	0.554047	0.0748079	2.82612e-113	3093	666.736	2426.26	NA	359	261.167	97.8333	NA	NA	0.151944	1:1:1:1:1:1	0.367595(0.447166:0.357349:0.298271)	NA	NA	NA	NA
Cd36_00940,orf19.3288	NG	0.0325213	0.49274	0.0660009	5.02689e-60	1641	360.612	1280.39	NA	171	130.25	40.75	NA	NA	0.133655	1:1:1:1:1:1	0.300443(0.378323:0.272495:0.250511)	NA	NA	NA	NA
Cd36_00950,orf19.3289	NG	0.0792436	0.39256	0.201864	7.55237e-19	1089	243.487	845.513	NA	138	74.4167	63.5833	NA	NA	0.149297	1:1:1:1:1:1	0.400826(0.473829:0.378788:0.349862)	NA	NA	NA	NA
Cd36_00960,orf19.3290	NG	0.016581	0.240334	0.0689915	2.1284e-10	468	102.125	365.875	NA	27	21	6	NA	NA	0.0654073	1:1:1:1:1:1	0.391026(0.445513:0.429487:0.298077)	NA	NA	NA	NA
Cd36_00970,orf19.3291	NG	0.0162169	0.359305	0.045134	6.88828e-32	1017	206.668	810.332	NA	72	59	13	NA	NA	0.0859369	1:1:1:1:1:1	0.36234(0.427729:0.29351:0.365782)	NA	NA	NA	NA
Cd36_00980,orf19.3292	NG	0.0190727	0.47055	0.0405328	1.95463e-19	441	95.8468	345.153	NA	40	33.5	6.5	NA	NA	0.117197	1:1:1:1:1:1	0.414966(0.455782:0.459184:0.329932)	NA	NA	NA	NA
Cd36_00990,orf19.3293	NG	0.00957254	0.550213	0.0173979	6.63377e-50	936	200.065	735.935	NA	85	78	7	NA	NA	0.125132	1:1:1:1:1:1	0.342949(0.36859:0.338141:0.322115)	NA	NA	NA	NA
Cd36_01000,orf19.3294	NG	0.00869461	0.283314	0.0306889	2.71996e-14	453	105.955	347.045	NA	28	25	3	NA	NA	0.0729269	1:1:1:1:1:1	0.399558(0.496689:0.400662:0.301325)	NA	NA	NA	NA
Cd36_01010,orf19.3295	NG	0.0324447	0.46594	0.0696328	2.31212e-48	1422	303.993	1118.01	NA	141	105.5	35.5	NA	NA	0.125117	1:1:1:1:1:1	0.359001(0.42616:0.331224:0.31962)	NA	NA	NA	NA
Cd36_01020,orf19.3296	NG	0.0816481	0.469491	0.173908	5.42435e-31	1503	326.694	1176.31	NA	205	114	91	NA	NA	0.16595	1:1:1:1:1:1	0.353586(0.409363:0.309761:0.341633)	NA	NA	NA	NA
Cd36_01030,orf19.3297	NG	0.0316295	0.419127	0.0754652	9.95929e-11	306	63.8442	242.156	NA	28	20.5	7.5	NA	NA	0.112477	1:1:1:1:1:1	0.346405(0.401961:0.362745:0.27451)	NA	NA	NA	NA
Cd36_01040,orf19.3298	NG	0.0246869	0.495529	0.0498194	3.36934e-261	6756	1450.96	5305.04	NA	655	526.167	128.833	NA	NA	0.125807	1:1:1:1:1:1	0.348841(0.386797:0.353124:0.306602)	NA	NA	NA	NA
Cd36_01050,orf19.3300	NG	0.0203272	0.318105	0.0639008	3.68244e-38	1467	311.796	1155.2	NA	104	80.8333	23.1667	NA	NA	0.0836168	1:1:1:1:1:1	0.333006(0.46169:0.349705:0.187623)	NA	NA	NA	NA
Cd36_01060,orf19.3301	NG	0.0359691	0.36665	0.0981019	1.12312e-51	2142	462.054	1679.95	NA	193	134	59	NA	NA	0.107301	1:1:1:1:1:1	0.330163(0.407609:0.404212:0.178668)	NA	NA	NA	NA
Cd36_01070,orf19.3302	NG	0.0496812	0.379538	0.130899	1.04651e-44	2100	456.612	1643.39	NA	215	136	79	NA	NA	0.121403	1:1:1:1:1:1	0.356976(0.397472:0.393258:0.280197)	NA	NA	NA	NA
Cd36_01080,orf19.3303	NG	0.0645498	0.433935	0.148755	9.97148e-44	2067	434.018	1632.98	NA	244	143	101	NA	NA	0.142111	1:1:1:1:1:1	0.336236(0.432511:0.297533:0.278665)	NA	NA	NA	NA
Cd36_01090,orf19.3304	NG	0.0298206	0.415182	0.0718254	3.0042e-26	810	177.209	632.791	NA	75	56.5	18.5	NA	NA	0.114129	1:1:1:1:1:1	0.321637(0.419298:0.345614:0.2)	NA	NA	NA	NA
Cd36_01100,orf19.3305	NG	0.0518487	0.479262	0.108184	3.33827e-61	2214	460.739	1753.26	NA	251	163.167	87.8333	NA	NA	0.140794	1:1:1:1:1:1	0.349142(0.394986:0.325881:0.326558)	NA	NA	NA	NA
Cd36_01110,orf19.3306	NG	0.0990789	0.505006	0.196193	9.7179e-35	1818	383.221	1434.78	NA	274	140.833	133.167	NA	NA	0.184645	1:1:1:1:1:1	0.333333(0.368852:0.318927:0.312221)	NA	NA	NA	NA
Cd36_01120,orf19.3307	NG	0.0643994	0.450702	0.142887	3.76153e-33	1389	311.415	1077.59	NA	172	105.5	66.5	NA	NA	0.151009	1:1:1:1:1:1	0.37329(0.478402:0.346652:0.294816)	NA	NA	NA	NA
Cd36_01130,orf19.3308	NG	0.019282	0.43892	0.0439306	8.16195e-73	1920	422.855	1497.14	NA	169	140.5	28.5	NA	NA	0.111702	1:1:1:1:1:1	0.358476(0.402799:0.362364:0.310264)	NA	NA	NA	NA
Cd36_01140,orf19.3310	NG	0.0281593	0.46193	0.0609601	8.15165e-28	750	171.071	578.929	NA	75	59	16	NA	NA	0.1271	1:1:1:1:1:1	0.406615(0.453307:0.435798:0.330739)	NA	NA	NA	NA
Cd36_01150,orf19.3311	NG	0.0310456	0.465369	0.0667118	3.48855e-36	1047	224.952	822.048	NA	103	78	25	NA	NA	0.124362	1:1:1:1:1:1	0.363897(0.446991:0.340974:0.303725)	NA	NA	NA	NA
Cd36_01160,orf19.3312	NG	0.0272217	0.527899	0.0515662	1.02801e-75	1872	394.461	1477.54	NA	189	149.5	39.5	NA	NA	0.132723	1:1:1:1:1:1	0.357105(0.420673:0.325321:0.325321)	NA	NA	NA	NA
Cd36_01170,orf19.3314	NG	0.0113171	0.559111	0.0202413	4.45815e-24	450	93.8799	356.12	NA	41	37	4	NA	NA	0.125599	1:1:1:1:1:1	0.33(0.356667:0.29:0.343333)	NA	NA	NA	NA
Cd36_01180,orf19.3315	NG	0.0508097	0.482898	0.105218	6.91867e-36	1263	260.493	1002.51	NA	142	92.75	49.25	NA	NA	0.139928	1:1:1:1:1:1	0.34031(0.404651:0.304651:0.311628)	NA	NA	NA	NA
Cd36_01190,orf19.3317	NG	NA	0.302733	-0	NA	345	64.2342	280.766	NA	16	16	NA	NA	NA	0.0563646	1:1:1:1:1:1	0.266667(0.330435:0.234783:0.234783)	NA	NA	NA	NA
Cd36_01200,orf19.3318	NG	0.0569686	0.550864	0.103417	5.04909e-70	2250	481.822	1768.18	NA	285	188	97	NA	NA	0.162733	1:1:1:1:1:1	0.35661(0.431489:0.337286:0.301054)	NA	NA	NA	NA
Cd36_01210,orf19.3319	NG	0.0564068	0.482712	0.116854	5.34043e-26	954	199.462	754.538	NA	112	71	41	NA	NA	0.145538	1:1:1:1:1:1	0.335851(0.427492:0.297583:0.282477)	NA	NA	NA	NA
Cd36_01220,orf19.3321	NG	0.0189882	0.359333	0.052843	1.02086e-46	1524	323.993	1200.01	NA	115	92.5	22.5	NA	NA	0.0913436	1:1:1:1:1:1	0.358268(0.404528:0.312992:0.357283)	NA	NA	NA	NA
Cd36_01230,orf19.3322	NG	0.0139841	0.371272	0.0376652	4.4698e-18	477	116.106	360.894	NA	39	34	5	NA	NA	0.100951	1:1:1:1:1:1	0.389937(0.550314:0.40566:0.213836)	NA	NA	NA	NA
Cd36_01240,orf19.3323	NG	0.0478289	0.723642	0.0660947	1.78645e-40	864	184.179	679.821	NA	117	85.5	31.5	NA	NA	0.191892	1:1:1:1:1:1	0.326389(0.387153:0.298611:0.293403)	NA	NA	NA	NA
Cd36_01250,orf19.3324	NG	NA	0.137455	-0	NA	1191	262.751	928.249	NA	33	33	NA	NA	NA	0.0303244	1:1:1:1:1:1	0.369437(0.418136:0.350126:0.34005)	NA	NA	NA	NA
Cd36_01260,orf19.3325	NG	0.0745912	0.433507	0.172064	1.34844e-38	1980	423.704	1556.3	NA	250	139.5	110.5	NA	NA	0.151396	1:1:1:1:1:1	0.391141(0.53003:0.318318:0.325075)	NA	NA	NA	NA
Cd36_01280,orf19.3327	NG	0.0267931	0.495587	0.0540633	8.3396e-64	1653	361.215	1291.79	NA	165	131	34	NA	NA	0.129234	1:1:1:1:1:1	0.352355(0.440217:0.331522:0.285326)	NA	NA	NA	NA
Cd36_01290,orf19.3328	NG	0.03485	0.591439	0.0589241	1.8084e-74	1797	372.738	1424.26	NA	201	152.5	48.5	NA	NA	0.150299	1:1:1:1:1:1	0.386973(0.425287:0.359606:0.376026)	NA	NA	NA	NA
Cd36_01300,orf19.3329	NG	0.0350032	0.549335	0.0637193	1.38789e-60	1473	342.362	1130.64	NA	172	133.333	38.6667	NA	NA	0.154547	1:1:1:1:1:1	0.385947(0.410387:0.378819:0.368635)	NA	NA	NA	NA
Cd36_01310,orf19.3330	NG	0.0136661	0.54097	0.0252623	8.28192e-52	1038	225.735	812.265	NA	98	87	11	NA	NA	0.128339	1:1:1:1:1:1	0.394509(0.429191:0.371387:0.382948)	NA	NA	NA	NA
Cd36_01320,orf19.3330	NG	1.10134	2.84723	0.386809	0.00876048	396	85.9294	310.071	NA	242	63	179	NA	NA	1.48018	1:1:1:1:1:1	0.268304(0.304913:0.24711:0.25289)	NA	NA	NA	NA
